customer_id;customer_name;city;signup_date
1;Cliente_1;oeiras;2025-01-25 00:00:00
2;Cliente_2;teresina;2025-10-26 00:00:00
3;Cliente_3;picos;2025-02-14 00:00:00
4;Cliente_4;picos;2025-10-10 00:00:00
5;Cliente_5;picos;2026-05-01 00:00:00
6;Cliente_6;picos;2025-10-23 00:00:00
7;Cliente_7;picos;2025-01-24 00:00:00
8;Cliente_8;teresina;2025-03-15 00:00:00
9;Cliente_9;floriano;2026-02-22 00:00:00
10;Cliente_10;floriano;2025-11-24 00:00:00
11;Cliente_11;oeiras;2025-02-02 00:00:00
12;Cliente_12;teresina;2025-12-15 00:00:00
13;Cliente_13;teresina;2025-10-27 00:00:00
14;Cliente_14;picos;2026-02-11 00:00:00
15;Cliente_15;picos;2025-10-22 00:00:00
16;Cliente_16;teresina;2026-01-09 00:00:00
17;Cliente_17;picos;2025-03-02 00:00:00
18;Cliente_18;teresina;2025-03-19 00:00:00
19;Cliente_19;oeiras;2025-02-09 00:00:00
20;Cliente_20;desconhecido;2025-06-10 00:00:00
21;Cliente_21;teresina;2025-10-24 00:00:00
22;Cliente_22;picos;2026-04-29 00:00:00
23;Cliente_23;picos;2025-02-01 00:00:00
24;Cliente_24;floriano;2025-12-15 00:00:00
25;Cliente_25;teresina;2026-03-31 00:00:00
26;Cliente_26;teresina;2025-07-01 00:00:00
27;Cliente_27;picos;2025-04-22 00:00:00
28;Cliente_28;picos;2025-07-23 00:00:00
29;Cliente_29;picos;2025-03-27 00:00:00
30;Cliente_30;picos;2026-02-24 00:00:00
31;Cliente_31;oeiras;2025-08-01 00:00:00
32;Cliente_32;teresina;2026-05-06 00:00:00
33;Cliente_33;picos;2025-04-29 00:00:00
34;Cliente_34;desconhecido;2025-10-29 00:00:00
35;Cliente_35;picos;2025-08-03 00:00:00
36;Cliente_36;teresina;2026-05-03 00:00:00
37;Cliente_37;floriano;2025-12-02 00:00:00
38;Cliente_38;desconhecido;2026-02-04 00:00:00
39;Cliente_39;floriano;2025-07-20 00:00:00
40;Cliente_40;teresina;2025-11-21 00:00:00
41;Cliente_41;picos;2025-08-14 00:00:00
42;Cliente_42;picos;2025-02-22 00:00:00
43;cliente_43;picos;2026-05-01 00:00:00
44;Cliente_44;desconhecido;2025-04-17 00:00:00
45;Cliente_45;teresina;2026-05-05 00:00:00
46;Cliente_46;picos;2025-03-01 00:00:00
47;Cliente_47;teresina;2025-09-03 00:00:00
48;Cliente_48;picos;2026-01-19 00:00:00
49;Cliente_49;desconhecido;2025-12-21 00:00:00
50;Cliente_50;floriano;2025-07-05 00:00:00
51;Cliente_51;picos;2026-01-24 00:00:00
52;Cliente_52;desconhecido;2025-02-16 00:00:00
53;Cliente_53;teresina;2026-04-11 00:00:00
54;Cliente_54;floriano;2025-10-05 00:00:00
55;Cliente_55;picos;2025-11-10 00:00:00
56;Cliente_56;desconhecido;2025-04-10 00:00:00
57;Cliente_57;oeiras;2026-02-16 00:00:00
58;Cliente_58;teresina;2026-01-10 00:00:00
59;cliente_59;teresina;2025-08-30 00:00:00
60;Cliente_60;teresina;2025-08-17 00:00:00
61;Cliente_61;teresina;2026-05-04 00:00:00
62;Cliente_62;picos;2025-04-27 00:00:00
63;Cliente_63;teresina;2025-11-16 00:00:00
64;Cliente_64;picos;2025-09-03 00:00:00
65;Cliente_65;oeiras;2025-02-13 00:00:00
66;Cliente_66;teresina;2026-02-05 00:00:00
67;Cliente_67;picos;2025-08-11 00:00:00
68;Cliente_68;desconhecido;2026-04-30 00:00:00
69;Cliente_69;teresina;2026-01-16 00:00:00
70;Cliente_70;picos;2025-03-07 00:00:00
71;cliente_71;teresina;2026-02-17 00:00:00
72;Cliente_72;floriano;2025-08-31 00:00:00
73;Cliente_73;floriano;2025-10-08 00:00:00
74;Cliente_74;oeiras;2025-11-29 00:00:00
75;Cliente_75;picos;2025-08-11 00:00:00
76;Cliente_76;desconhecido;2025-04-19 00:00:00
77;cliente_77;floriano;2025-05-04 00:00:00
78;Cliente_78;floriano;2025-08-03 00:00:00
79;Cliente_79;oeiras;2025-07-01 00:00:00
80;Cliente_80;desconhecido;2026-04-08 00:00:00
81;Cliente_81;floriano;2025-03-08 00:00:00
82;Cliente_82;picos;2026-03-23 00:00:00
83;Cliente_83;picos;2026-02-02 00:00:00
84;Cliente_84;teresina;2025-11-13 00:00:00
85;Cliente_85;teresina;2025-12-16 00:00:00
86;Cliente_86;desconhecido;2026-02-02 00:00:00
87;Cliente_87;picos;2025-04-08 00:00:00
88;Cliente_88;floriano;2025-08-20 00:00:00
89;Cliente_89;picos;2025-08-15 00:00:00
90;Cliente_90;floriano;2025-09-20 00:00:00
91;Cliente_91;floriano;2025-10-01 00:00:00
92;Cliente_92;picos;2025-12-24 00:00:00
93;Cliente_93;teresina;2026-04-18 00:00:00
94;Cliente_94;desconhecido;2025-08-18 00:00:00
95;Cliente_95;teresina;2025-06-11 00:00:00
96;Cliente_96;picos;2025-04-19 00:00:00
97;Cliente_97;desconhecido;2025-03-21 00:00:00
98;Cliente_98;teresina;2025-03-15 00:00:00
99;Cliente_99;teresina;2025-04-23 00:00:00
100;Cliente_100;teresina;2025-03-25 00:00:00
101;Cliente_101;picos;2025-12-28 00:00:00
102;Cliente_102;teresina;2025-08-04 00:00:00
103;Cliente_103;oeiras;2025-07-07 00:00:00
104;cliente_104;teresina;2025-12-27 00:00:00
105;cliente_105;floriano;2025-06-01 00:00:00
106;Cliente_106;desconhecido;2025-04-28 00:00:00
107;Cliente_107;teresina;2025-05-20 00:00:00
108;cliente_108;teresina;2026-01-22 00:00:00
109;Cliente_109;oeiras;2026-02-24 00:00:00
110;Cliente_110;floriano;2026-04-16 00:00:00
111;Cliente_111;teresina;2025-02-15 00:00:00
112;Cliente_112;picos;2025-08-06 00:00:00
113;Cliente_113;picos;2025-11-21 00:00:00
114;Cliente_114;floriano;2026-03-15 00:00:00
115;Cliente_115;picos;2025-08-21 00:00:00
116;cliente_116;teresina;2026-04-20 00:00:00
117;Cliente_117;picos;2025-09-27 00:00:00
118;Cliente_118;picos;2025-05-15 00:00:00
119;Cliente_119;teresina;2025-11-18 00:00:00
120;Cliente_120;teresina;2025-08-17 00:00:00
121;Cliente_121;teresina;2026-02-16 00:00:00
122;cliente_122;picos;2025-01-10 00:00:00
123;Cliente_123;picos;2025-09-21 00:00:00
124;Cliente_124;picos;2025-12-04 00:00:00
125;Cliente_125;teresina;2025-10-07 00:00:00
126;Cliente_126;floriano;2025-06-07 00:00:00
127;Cliente_127;teresina;2025-04-12 00:00:00
128;Cliente_128;oeiras;2025-03-13 00:00:00
129;Cliente_129;picos;2026-03-05 00:00:00
130;Cliente_130;oeiras;2026-03-27 00:00:00
131;Cliente_131;picos;2025-12-07 00:00:00
132;Cliente_132;oeiras;2026-05-13 00:00:00
133;Cliente_133;teresina;2025-01-24 00:00:00
134;Cliente_134;teresina;2025-01-02 00:00:00
135;Cliente_135;floriano;2025-06-15 00:00:00
136;Cliente_136;teresina;2025-04-22 00:00:00
137;Cliente_137;teresina;2025-02-12 00:00:00
138;Cliente_138;picos;2025-05-08 00:00:00
139;Cliente_139;teresina;2026-02-23 00:00:00
140;Cliente_140;picos;2025-07-21 00:00:00
141;cliente_141;picos;2025-02-13 00:00:00
142;Cliente_142;desconhecido;2025-03-21 00:00:00
143;Cliente_143;floriano;2025-07-19 00:00:00
144;Cliente_144;teresina;2025-03-18 00:00:00
145;Cliente_145;picos;2025-01-23 00:00:00
146;Cliente_146;floriano;2025-11-18 00:00:00
147;Cliente_147;floriano;2025-03-13 00:00:00
148;Cliente_148;floriano;2026-03-04 00:00:00
149;Cliente_149;oeiras;2025-10-27 00:00:00
150;Cliente_150;oeiras;2025-11-26 00:00:00
151;Cliente_151;picos;2025-11-23 00:00:00
152;Cliente_152;desconhecido;2025-08-20 00:00:00
153;Cliente_153;oeiras;2025-09-30 00:00:00
154;Cliente_154;picos;2025-08-22 00:00:00
155;Cliente_155;floriano;2026-04-05 00:00:00
156;Cliente_156;picos;2026-01-17 00:00:00
157;Cliente_157;picos;2026-03-10 00:00:00
158;Cliente_158;picos;2025-04-29 00:00:00
159;Cliente_159;teresina;2026-03-09 00:00:00
160;Cliente_160;oeiras;2025-05-28 00:00:00
